Year,MaxScore,Gold,Silver,Bronze
1959,40,37,36,33
1960,44,40,37,33
1961,40,37,34,30
1962,46,41,34,29
1963,40,35,28,21
1964,42,38,31,27
1965,40,38,30,20
1966,40,39,34,31
1967,42,38,30,22
1968,40,39,33,26
1969,40,40,30,24
1970,40,37,30,19
1971,42,35,23,11
1972,40,40,30,19
1973,40,35,27,17
1974,40,38,30,23
1975,40,38,32,23
1976,40,34,23,15
1977,40,34,24,17
1978,40,35,27,22
1979,40,37,29,20
1981,42,41,34,26
1982,42,37,30,21
1983,42,38,26,15
1984,42,40,26,17
1985,42,34,22,15
1986,42,34,26,17
1987,42,42,32,18
1988,42,32,23,14
1989,42,38,30,18
1990,42,34,23,16
1991,42,39,31,19
1992,42,32,24,14
1993,42,30,20,11
1994,42,40,30,19
1995,42,37,29,19
1996,42,28,20,12
1997,42,35,25,15
1998,42,31,24,14
1999,42,28,19,12
2000,42,30,21,11
2001,42,30,20,11
2002,42,29,23,14
2003,42,29,19,13
2004,42,32,24,16
2005,42,35,23,12
2006,42,28,19,15
2007,42,29,21,14
2008,42,31,22,15
2009,42,32,24,14
2010,42,27,21,15
2011,42,28,22,16
2012,42,28,21,14
2013,42,31,24,15
2014,42,29,22,16
2015,42,26,19,14
2016,42,29,22,16
